
> minecraft-pvp@0.1.0 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.100:3000
- Environments: .env
✓ Ready in 761ms

○ Compiling / ...
 GET /api/announcements 200 in 29ms (next.js: 15ms, application-code: 15ms)
 GET /admin 200 in 95ms (next.js: 5ms, application-code: 90ms)
 GET /api/players 200 in 22ms (next.js: 12ms, application-code: 10ms)
 GET /api/announcements 200 in 35ms (next.js: 25ms, application-code: 9ms)
 GET /admin 200 in 59ms (next.js: 5ms, application-code: 54ms)
 GET /api/players 200 in 15ms (next.js: 4ms, application-code: 11ms)
 GET /api/announcements 200 in 12ms (next.js: 4ms, application-code: 7ms)
 POST /api/players 200 in 27ms (next.js: 3ms, application-code: 23ms)
 GET /api/players 200 in 12ms (next.js: 4ms, application-code: 8ms)
 GET /api/announcements 200 in 10ms (next.js: 4ms, application-code: 6ms)
 GET /admin/leaderboard 200 in 35ms (next.js: 4ms, application-code: 31ms)
 GET /api/players 200 in 20ms (next.js: 8ms, application-code: 12ms)
 GET /api/players 200 in 12ms (next.js: 4ms, application-code: 8ms)
 DELETE /api/players/007fd089-7b21-4b46-a03b-fc79f101e87c 200 in 73ms (next.js: 52ms, application-code: 20ms)
 GET /api/players 200 in 15ms (next.js: 4ms, application-code: 11ms)
 DELETE /api/players/ad116891-8f4a-43d0-9aac-2be46cefd52a 200 in 43ms (next.js: 13ms, application-code: 31ms)
 GET /api/players 200 in 14ms (next.js: 6ms, application-code: 8ms)
 GET /admin 200 in 38ms (next.js: 4ms, application-code: 33ms)
 GET /api/players 200 in 14ms (next.js: 6ms, application-code: 9ms)
 GET /api/announcements 200 in 23ms (next.js: 16ms, application-code: 7ms)
 GET /api/players 200 in 12ms (next.js: 3ms, application-code: 8ms)
 GET /api/announcements 200 in 22ms (next.js: 15ms, application-code: 8ms)
 GET /admin 200 in 57ms (next.js: 5ms, application-code: 52ms)
 GET /api/players 200 in 15ms (next.js: 7ms, application-code: 8ms)
 GET /api/announcements 200 in 25ms (next.js: 17ms, application-code: 8ms)
 GET /admin/leaderboard 200 in 26ms (next.js: 4ms, application-code: 22ms)
 GET /api/players 200 in 14ms (next.js: 6ms, application-code: 8ms)
 GET /api/players 200 in 8ms (next.js: 2ms, application-code: 6ms)
 GET /admin/players 200 in 23ms (next.js: 3ms, application-code: 20ms)
